,0
003 L5/6 IT TPE-ENT Glut,711
004 L6 IT CTX Glut,11338
005 L5 IT CTX Glut,4419
006 L4/5 IT CTX Glut,14152
007 L2/3 IT CTX Glut,8869
030 L6 CT CTX Glut,21453
032 L5 NP CTX Glut,3988
001 CLA-EPd-CTX Car3 Glut,377
002 IT EP-CLA Glut,733
008 L2/3 IT ENT Glut,1
009 L2/3 IT PIR-ENTl Glut,52
010 IT AON-TT-DP Glut,332
022 L5 ET CTX Glut,3739
027 L6b EPd Glut,16
028 L6b/CT ENT Glut,5
029 L6b CTX Glut,1586
035 OB Eomes Ms4a15 Glut,61
036 HPF CR Glut,448
038 DG-PIR Ex IMN,1
039 OB Meis2 Thsd7b Gaba,68
041 OB-in Frmd7 Gaba,62
042 OB-out Frmd7 Gaba,63
044 OB Dopa-Gaba,79
045 OB-STR-CTX Inh IMN,24
046 Vip Gaba,3714
047 Sncg Gaba,1561
048 RHP-COA Ndnf Gaba,179
049 Lamp5 Gaba,2863
050 Lamp5 Lhx6 Gaba,249
051 Pvalb chandelier Gaba,246
052 Pvalb Gaba,2931
053 Sst Gaba,5552
054 STR Prox1 Lhx6 Gaba,684
056 Sst Chodl Gaba,896
061 STR D1 Gaba,884
062 STR D2 Gaba,2163
063 STR D1 Sema5a Gaba,262
064 STR-PAL Chst9 Gaba,3824
065 IA Mgp Gaba,265
066 NDB-SI-ant Prdm12 Gaba,158
070 LSX Prdm12 Slit2 Gaba,2
078 SI-MA-ACB Ebf1 Bnc2 Gaba,263
080 CEA-AAA-BST Six3 Sp9 Gaba,3569
114 COAa-PAA-MEA Barhl2 Glut,3682
115 MS-SF Bsx Glut,13
131 LHA-AHN-PVH Otp Trh Glut,49
180 SCiw Pitx2 Glut,1
319 Astro-TE NN,12415
320 Astro-OLF NN,8
326 OPC NN,10312
327 Oligo NN,12769
328 OEC NN,8
330 VLMC NN,418
331 Peri NN,1190
332 SMC NN,1170
333 Endo NN,4328
334 Microglia NN,8523
335 BAM NN,418
020 L2/3 IT RSP Glut,2
043 OB-mi Frmd7 Gaba,1
142 HY Gnrh1 Glut,1
329 ABC NN,4
336 Monocytes NN,3
337 DC NN,11
338 Lymphoid NN,15
012 MEA Slc17a7 Glut,3984
013 COAp Grxcr2 Glut,60
014 LA-BLA-BMA-PA Glut,37
017 CA3 Glut,10
026 NLOT Rho Glut,286
037 DG Glut,262
055 STR Lhx8 Gaba,112
057 NDB-SI-MA-STRv Lhx8 Gaba,1100
058 PAL-STR Gaba-Chol,160
059 GPe-SI Sox6 Cyp26b1 Gaba,186
060 OT D3 Folh1 Gaba,15
073 MEA-BST Sox6 Gaba,8705
074 MEA-BST Lhx6 Sp9 Gaba,6461
075 MEA-BST Lhx6 Nr2e1 Gaba,2400
076 MEA-BST Lhx6 Nfib Gaba,3495
077 CEA-BST Gal Avp Gaba,195
079 CEA-BST Six3 Cyp26b1 Gaba,4675
081 ACB-BST-FS D1 Gaba,207
082 CEA-BST Ebf1 Pdyn Gaba,6966
083 CEA-BST Rai14 Pdyn Crh Gaba,214
084 BST-SI-AAA Six3 Slc22a3 Gaba,238
085 SI-MPO-LPO Lhx8 Gaba,365
086 MPO-ADP Lhx8 Gaba,29
087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,136
088 BST Tac2 Gaba,143
089 PVR Six3 Sox3 Gaba,1
090 BST-MPN Six3 Nrgn Gaba,550
091 ARH-PVi Six6 Dopa-Gaba,1
093 RT-ZI Gnb3 Gaba,34
094 SCH Six6 Cdc14a Gaba,3
095 DMH Prdm13 Gaba,2
096 PVHd Gsc Gaba,2
097 PVHd-SBPV Six3 Prox1 Gaba,4
098 AHN-SBPV-PVHd Pdrm12 Gaba,5
099 SBPV-PVa Six6 Satb2 Gaba,4
100 AHN Onecut3 Gaba,3
101 ZI Pax6 Gaba,13
102 DMH-LHA Gsx1 Gaba,4
104 TU-ARH Otp Six6 Gaba,2
106 PVpo-VMPO-MPN Hmx2 Gaba,11
107 DMH Hmx2 Gaba,5
108 ARH-PVp Tbx3 Gaba,4
111 TRS-BAC Sln Glut,2
113 MEA-COA-BMA Ccdc42 Glut,9654
116 AVPV-MEPO-SFO Tbr1 Glut,4
117 LHA Barhl2 Glut,36
118 ADP-MPO Trp73 Glut,54
119 SI-MA-LPO-LHA Skor1 Glut,2180
120 MEA Otp Foxp2 Glut,1504
121 MEA-BST Otp Zic2 Glut,1255
122 LHA-MEA Otp Glut,752
123 DMH Nkx2-4 Glut,2
124 MPN-MPO-PVpo Hmx2 Glut,9
125 DMH Hmx2 Glut,1
126 ARH-PVp Tbx3 Glut,3
127 DMH-LHA Vgll2 Glut,1
129 VMH Nr5a1 Glut,5
132 AHN-RCH-LHA Otp Fezf1 Glut,6
133 PVH-SO-PVa Otp Glut,136
134 PH-ant-LHA Otp Bsx Glut,3
135 STN-PSTN Pitx2 Glut,2
138 PH Pitx2 Glut,3
139 PH-LHA Foxb1 Glut,10
140 PMd-LHA Foxb1 Glut,1
141 PH-SUM Foxa1 Glut,5
143 MM-ant Foxb1 Glut,8
144 MM Foxb1 Glut,7
167 PRC-PAG Tcf7l2 Irx2 Glut,2
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,3
195 SNr-VTA Pax5 Npas1 Gaba,2
200 PAG-ND-PCG Onecut1 Gaba,1
213 SCsg Gabrr2 Gaba,1
215 SNc-VTA-RAmb Foxa1 Dopa,1
314 CB Granule Glut,5
318 Astro-NT NN,11908
321 Astroependymal NN,2
322 Tanycyte NN,1
323 Ependymal NN,45
